feature,mean_abs_shap_before,rank_before,mean_abs_shap_after,rank_after,rank_change
phylop_new3utr_first200_median,0.03470500723311476,26,0.05838599202128371,11,15
AmountExonsAfter,0.0550104919501223,14,0.4195455665948634,1,13
length.mutated.exon,0.03290296706307161,28,0.03711595547457049,22,6
fiveUTR_AUcontentfirst100,,31,0.034179088073884714,25,6
fiveUTR_AU_content,0.036367565663996695,24,0.04080028722517453,19,5
threeUTR_UC_content,0.054608222901507214,15,0.061833461216671375,10,5
utr3_all.SRSF7,0.04001939188139126,21,0.05122165701099221,16,5
MedianExpression_log2,0.07194661048809997,9,0.0707086451708054,7,2
threeUTR_AU_content,0.039730409745618006,22,0.039906011446412995,20,2
ejc_count_in_window,0.03553354851823478,25,0.03539481610739158,24,1
gnomAD_exome_ALL,0.04227872132113897,19,0.045229929488164095,18,1
first.100,0.03451096873720456,27,0.02834566945473276,26,1
isoform_count,0.0567923424759796,13,0.05610450496019942,12,1
cdsseqs_UC_content,0.08268403637312365,7,0.07997355083357176,6,1
phastcons_new3utr_first200_median,0.09416158826588814,5,0.10861037320395805,5,0
relativePTClocation,0.2241960833501332,2,0.3159295434762306,2,0
cdsseqs_AU_content,0.14317681920072228,4,0.15468644763288675,4,0
newutr_all.G3BP1,0.01846793865382991,30,0.015303780734074362,30,0
ptc_to_ejc.SFPQ,0.027799871249953204,29,0.019040162256476135,29,0
half_life_PC1,0.20400218848307863,3,0.19789646260837362,3,0
PTC.plus1.aa,0.04043036089438683,20,0.039743826739972316,21,-1
first.200,0.04968590854263854,16,0.04667320436412234,17,-1
cdsseq_AUcontentlast200,0.07786222749629425,8,0.06651686246211762,9,-1
mut.exon,0.08402116794997717,6,0.06817708021283461,8,-2
phylop_ptc_to_ejc_median,0.05722988094110866,12,0.05207377179992926,15,-3
log2_CDS,0.059802367320216876,10,0.05570561377431285,13,-3
CADD_phred,0.05833004176111117,11,0.05224850442932214,14,-3
fiveUTR_AUcontentlast100,0.03857277070605696,23,0.02801623874035529,27,-4
readthrough_score_hek293t,0.04505737522924524,18,0.035595484479167216,23,-5
phastcons_ejc_100bp_median,0.045826784240430705,17,0.021307339083588336,28,-11
last.EJC,0.5153729224862464,1,,31,-30
