,last.EJC,relativePTClocation,half_life_PC1,cdsseqs_AU_content,mut.exon,phylop_ptc_to_ejc_median,AmountExonsAfter,phastcons_new3utr_first200_median,cdsseqs_UC_content,MedianExpression_log2,cdsseq_AUcontentlast200,first.200,CADD_phred,threeUTR_UC_content,log2_CDS,phylop_new3utr_first200_median,first.100,isoform_count,gnomAD_exome_ALL,readthrough_score_hek293t,fiveUTR_AU_content,ejc_count_in_window,length.mutated.exon,phastcons_ejc_100bp_median,utr3_all.SRSF7,ptc_to_ejc.SFPQ,threeUTR_AU_content,PTC.plus1.aa,fiveUTR_AUcontentlast100,newutr_all.G3BP1
last.EJC,1.0,0.5393382435890872,0.20723243134845395,0.01722997591046037,0.027524113909012927,0.47257992856104375,0.4417706742498803,0.4785827572812766,0.025783786189448887,0.07119744572862334,0.023749389068596666,0.14061315595492896,0.10718058040067727,0.10191473336505379,0.21582991902787085,0.4158479345015174,0.11680087802336929,0.15171775263069884,0.005954000624764626,0.012587777916794652,0.030050326228750885,0.2734341207751168,0.2547623906560681,0.15053560730941418,0.01537340057054767,0.15140403646319345,0.043158150389309896,0.10443996833149609,0.029005196225666344,0.15053953213877178
relativePTClocation,0.5393382435890872,1.0,-0.035421126125854796,-0.003993716388380895,0.48993801856010494,-0.177346732068144,-0.5341124999611894,-0.24125826953411744,-0.00462476801717494,-0.001175665590817562,-0.00794840487157209,0.5367213546682168,0.2030446473671403,0.014280227617417254,0.05194118768652662,-0.21754714732850255,0.4199139994458145,-0.009444650977707083,0.0012003112858479587,0.008489252711652573,-0.034277173820395926,-0.13962126154693066,0.015586680956832294,-0.0718333431516667,0.0002845999641630961,-0.07714606792249866,0.0011239809462133285,0.13118953488369534,-0.0176867675923582,-0.1566535853151434
half_life_PC1,0.20723243134845395,-0.035421126125854796,1.0,-0.16635157213033455,0.032899222869184994,0.14267319745177526,0.08470502206319062,0.13654451450216648,0.14342786239068545,0.3232861625518734,-0.1559927795312739,0.0595484495071916,0.1207576397530119,0.058009388608589244,-0.1633422611194705,0.10736231498151412,0.03623817052212882,0.18817702515838078,0.008263308866135534,-0.002885328590556761,-0.1399685307872296,0.12788030608010795,-0.27658177580972454,-0.026669440391250004,-0.1026750265357792,-0.14472317143087568,-0.14284447014808538,0.07019170518165549,-0.14286385366241028,0.03058124423316448
cdsseqs_AU_content,0.01722997591046037,-0.003993716388380895,-0.16635157213033455,1.0,0.020544903952686752,0.1418120190093684,0.02027344500552963,0.0941774428106158,-0.413385185758346,-0.133252680424664,0.8424960258531087,0.012315785627828047,-0.04604857824250167,-0.0672927731290485,0.011980913200611511,0.14663775091950607,0.005306694101703278,-0.06541168996033575,-0.019410434582073845,-0.0007854209810362863,0.2928172700474791,-0.1056289366301094,0.02069042317562743,0.24614584361433914,0.06727514188130693,-0.1378559013293623,0.6350064395747171,0.16908943726823975,0.22287606539037016,-0.3955215163683584
mut.exon,0.027524113909012927,0.48993801856010494,0.032899222869184994,0.020544903952686752,1.0,0.06400423213901399,0.03370992030571307,0.03780523144660477,-0.037030419236815035,0.021499400371999985,-0.05578584060736655,0.3011997329824736,0.27946603380951673,0.026191342926555047,0.5940721349094733,0.049335857003761856,0.21169588630948188,0.20875580743001423,0.0046049289008082955,0.018414854299653834,-0.0890961100286169,0.03348797948946434,-0.08122145901574199,0.03104067704586054,-0.013857853055654425,-0.05430057204700485,-0.010393521728562151,0.0710626616810361,-0.03686584803971085,0.03200015563222072
phylop_ptc_to_ejc_median,0.47257992856104375,-0.177346732068144,0.14267319745177526,0.1418120190093684,0.06400423213901399,1.0,0.24931386691407925,0.6206774230668044,-0.051452024167681513,0.24686820201725113,0.08216338255028116,0.04319563597514025,0.2995115469743183,0.08740515359723842,0.1140253646998995,0.8421929383800085,0.047101499035191875,0.1103809944447683,-0.021883672463149925,0.03818005312298297,-0.10062364187968015,0.2276132452620339,-0.22109125669608093,0.4588091554937476,0.06075556197974529,-0.16145451351711285,0.12659836951783468,0.1195068713593893,-0.0216891721751001,0.016505595988289427
AmountExonsAfter,0.4417706742498803,-0.5341124999611894,0.08470502206319062,0.02027344500552963,0.03370992030571307,0.24931386691407925,1.0,0.24888216259026705,-0.008288755403616887,0.03562667240038387,-0.022197836160607446,0.07486321134978619,-0.01227203892823199,0.026629672818782184,0.5096823716216606,0.2565312625576162,0.07598682045342887,0.19422917760201372,0.007830598897558745,0.00914961125079878,-0.05729427551506556,0.20483560614278076,-0.10534258009715901,0.10745268881722388,-0.014756871456874364,-0.06225306899938816,-0.0030313486109706973,0.08674683824165146,-0.007549876970211428,0.22045749118751493
phastcons_new3utr_first200_median,0.4785827572812766,-0.24125826953411744,0.13654451450216648,0.0941774428106158,0.03780523144660477,0.6206774230668044,0.24888216259026705,1.0,-0.014100031800219846,0.26854362767731377,0.048241709039981796,0.021736220344914743,0.26904394766490247,0.10650661239090582,0.09973550399355349,0.706656210617408,0.0010703170594878993,0.13341610605603615,-0.013695614450163825,0.02855975542634403,-0.12813401783224146,0.21374282394992813,-0.2168926738358617,0.3398428524893697,0.050517097566568636,-0.09313385838726113,0.13987053525095516,0.09967245047857455,-0.021265211753515263,0.027404079538276584
cdsseqs_UC_content,0.025783786189448887,-0.00462476801717494,0.14342786239068545,-0.413385185758346,-0.037030419236815035,-0.051452024167681513,-0.008288755403616887,-0.014100031800219846,1.0,-0.0642771478455266,-0.3421435637163976,0.010962087508330326,0.025463221770996174,-0.053291911422177984,-0.027331284772605283,-0.0489045375859669,0.009704052906719095,0.04620914202247328,-0.004886045634671444,0.06644571078295372,-0.12015759000988292,-0.0059783470567144345,-0.051600088426617584,-0.09728695358609851,-0.025840490502087338,0.025891340162702576,-0.29655608909649134,0.1386185180037829,-0.07459808511872502,0.17081065394661202
MedianExpression_log2,0.07119744572862334,-0.001175665590817562,0.3232861625518734,-0.133252680424664,0.021499400371999985,0.24686820201725113,0.03562667240038387,0.26854362767731377,-0.0642771478455266,1.0,-0.14620781530636984,0.009035839737097918,0.14284079743880046,0.18501749775794676,-0.0336919043096376,0.267677022296005,0.005521119628331104,0.21488082719777452,-0.01822905646845127,0.0006184441466519562,-0.2361561826734355,0.27332572981825193,-0.07946985609018757,0.1479596644651182,-0.01889452696298015,-0.01940641949895942,0.002498670643357964,0.07630461083522562,-0.09413319588783085,0.016271042384173328
cdsseq_AUcontentlast200,0.023749389068596666,-0.00794840487157209,-0.1559927795312739,0.8424960258531087,-0.05578584060736655,0.08216338255028116,-0.022197836160607446,0.048241709039981796,-0.3421435637163976,-0.14620781530636984,1.0,0.024556144393202577,-0.05169955846248987,-0.07622691274722289,-0.06053664421276556,0.08530476095466495,0.004346394404662177,-0.12654300998105797,0.0035392205884497356,0.002036421551624975,0.23393286928080906,-0.1169821865777056,0.021029197562755977,0.19068116121422424,0.035049088168567895,-0.1130168949074242,0.600483656762415,0.1555396907216959,0.14919713510298813,-0.3728359489784785
first.200,0.14061315595492896,0.5367213546682168,0.0595484495071916,0.012315785627828047,0.3011997329824736,0.04319563597514025,0.07486321134978619,0.021736220344914743,0.010962087508330326,0.009035839737097918,0.024556144393202577,1.0,0.12116035893339887,0.0731590123810246,0.2993611019555824,0.010843814120907933,0.6705526928191453,0.07803947340786441,0.003087182945701091,0.013031666972415172,0.054287803345122364,0.0011684014019542437,0.06999318493138258,0.013667706152995049,0.02349106453596067,0.029084587411188672,0.039967468572657726,0.07209066264321012,0.0010992403853164825,0.011088460280183869
CADD_phred,0.10718058040067727,0.2030446473671403,0.1207576397530119,-0.04604857824250167,0.27946603380951673,0.2995115469743183,-0.01227203892823199,0.26904394766490247,0.025463221770996174,0.14284079743880046,-0.05169955846248987,0.12116035893339887,1.0,0.07166806063272002,0.10208663994761608,0.2423600178288999,0.08674132714551,0.0642050710945058,0.005083016214426619,-0.05124431244872459,-0.12091189702999233,0.0753542556206299,-0.1813042443148534,0.06847821888853872,0.012367217727084183,-0.12283618878626087,0.0029113660890442697,0.0817420035173205,-0.06447086367730036,-0.0053762821237343566
