n_features,oof_auc
1,0.6611248953575216
2,0.7239857761867268
3,0.7363488991891871
4,0.7685379136992041
5,0.7747829133685935
6,0.7761841649060541
7,0.7754617627661384
8,0.775920652515238
9,0.7772071053676253
10,0.7792501803717916
11,0.7837331239223135
12,0.7842750932724067
13,0.7844727885637575
14,0.7848096818356274
15,0.7839912684681317
16,0.7855802725840488
17,0.7877605936250984
18,0.788770663458322
19,0.7870818052257924
20,0.7873295190728072
21,0.7853346326771466
22,0.7872063026308054
23,0.7880835792985642
24,0.7879221779591892
25,0.7894476219104697
26,0.7907986108993117
27,0.7886950256424397
28,0.7900070977550453
29,0.7908010508288562
30,0.7925137593726843
