feature_a,feature_b,pct_retrained_model,pct_full_truncat_model,correlation_section2,flag
last.EJC,MedianExpression_log2,71.9,126.0,0.071,
last.EJC,log2_CDS,54.6,82.9,0.216,
relativePTClocation,MedianExpression_log2,36.5,31.0,-0.001,
half_life_PC1,log2_CDS,34.0,33.6,-0.163,
last.EJC,mut.exon,28.7,28.3,0.028,
last.EJC,first.100,27.2,30.3,0.117,
half_life_PC1,MedianExpression_log2,26.0,21.2,0.323,
phylop_ptc_to_ejc_median,MedianExpression_log2,25.4,8.4,0.247,INTERACTION EMERGED after removing other features
phastcons_new3utr_first200_median,MedianExpression_log2,22.7,20.6,0.269,
relativePTClocation,log2_CDS,22.0,17.2,0.052,
mut.exon,readthrough_score_hek293t,21.2,13.5,0.018,
cdsseqs_AU_content,readthrough_score_hek293t,20.4,4.6,-0.001,INTERACTION EMERGED after removing other features
relativePTClocation,readthrough_score_hek293t,20.3,18.2,0.008,
log2_CDS,readthrough_score_hek293t,20.0,7.1,0.008,INTERACTION EMERGED after removing other features
cdsseqs_AU_content,MedianExpression_log2,19.9,20.7,-0.133,
cdsseqs_AU_content,log2_CDS,19.4,16.9,0.012,
MedianExpression_log2,gnomAD_exome_ALL,19.2,8.3,-0.018,INTERACTION EMERGED after removing other features
last.EJC,phastcons_new3utr_first200_median,18.6,13.6,0.479,
MedianExpression_log2,log2_CDS,18.5,9.5,-0.034,
half_life_PC1,threeUTR_UC_content,18.3,6.7,0.058,INTERACTION EMERGED after removing other features
MedianExpression_log2,phylop_new3utr_first200_median,17.7,8.9,0.268,
last.EJC,readthrough_score_hek293t,17.1,10.5,0.013,
MedianExpression_log2,isoform_count,17.0,5.1,0.215,INTERACTION EMERGED after removing other features
last.EJC,isoform_count,17.0,15.7,0.152,
last.EJC,first.200,16.6,21.1,0.141,
last.EJC,cdsseqs_UC_content,16.4,16.9,0.026,
last.EJC,phylop_new3utr_first200_median,16.3,16.4,0.416,
log2_CDS,isoform_count,16.0,6.5,0.226,
last.EJC,phylop_ptc_to_ejc_median,15.7,11.7,0.473,
AmountExonsAfter,MedianExpression_log2,15.4,16.6,0.036,
last.EJC,cdsseqs_AU_content,14.2,16.8,0.017,
CADD_phred,readthrough_score_hek293t,14.2,6.0,-0.051,
MedianExpression_log2,threeUTR_UC_content,14.1,3.5,0.185,INTERACTION EMERGED after removing other features
cdsseqs_AU_content,isoform_count,14.0,4.6,-0.065,
half_life_PC1,readthrough_score_hek293t,13.9,5.6,-0.003,
cdsseqs_UC_content,readthrough_score_hek293t,13.6,2.4,0.066,INTERACTION EMERGED after removing other features
phylop_ptc_to_ejc_median,threeUTR_UC_content,13.4,3.7,0.087,
cdsseqs_UC_content,log2_CDS,13.4,6.0,-0.027,
cdsseqs_AU_content,cdsseqs_UC_content,13.3,7.2,-0.413,
MedianExpression_log2,cdsseq_AUcontentlast200,12.9,6.8,-0.146,
relativePTClocation,mut.exon,12.9,7.5,0.49,
relativePTClocation,isoform_count,12.9,4.1,-0.009,
threeUTR_UC_content,log2_CDS,12.8,3.5,0.087,
last.EJC,threeUTR_UC_content,12.8,8.4,0.102,
cdsseqs_AU_content,first.200,12.8,11.2,0.012,
cdsseqs_UC_content,MedianExpression_log2,12.8,5.5,-0.064,
relativePTClocation,cdsseqs_UC_content,12.7,6.3,-0.005,
phastcons_new3utr_first200_median,cdsseqs_UC_content,12.7,5.2,-0.014,
cdsseq_AUcontentlast200,gnomAD_exome_ALL,12.6,2.7,0.004,
isoform_count,readthrough_score_hek293t,12.6,3.7,-0.015,
half_life_PC1,CADD_phred,12.4,4.8,0.121,
cdsseq_AUcontentlast200,log2_CDS,12.3,3.0,-0.061,
MedianExpression_log2,readthrough_score_hek293t,12.0,4.2,0.001,
half_life_PC1,isoform_count,11.9,8.4,0.188,
threeUTR_UC_content,readthrough_score_hek293t,11.5,2.9,-0.012,
cdsseqs_UC_content,gnomAD_exome_ALL,11.4,2.1,-0.005,
mut.exon,MedianExpression_log2,11.3,8.8,0.021,
last.EJC,CADD_phred,11.3,5.8,0.107,
cdsseqs_UC_content,phylop_new3utr_first200_median,11.2,5.4,-0.049,
half_life_PC1,phylop_new3utr_first200_median,11.0,4.0,0.107,
half_life_PC1,gnomAD_exome_ALL,11.0,5.0,0.008,
cdsseqs_UC_content,first.200,10.9,5.1,0.011,
relativePTClocation,gnomAD_exome_ALL,10.9,4.2,0.001,
last.EJC,gnomAD_exome_ALL,10.7,4.8,0.006,
log2_CDS,gnomAD_exome_ALL,10.6,3.7,0.009,
isoform_count,gnomAD_exome_ALL,10.6,2.9,0.015,
mut.exon,gnomAD_exome_ALL,9.9,4.6,0.005,
phylop_ptc_to_ejc_median,cdsseqs_UC_content,9.7,3.0,-0.051,
last.EJC,relativePTClocation,9.7,10.2,0.539,
phylop_ptc_to_ejc_median,gnomAD_exome_ALL,9.6,4.6,-0.022,
cdsseqs_UC_content,threeUTR_UC_content,9.5,2.2,-0.053,
mut.exon,threeUTR_UC_content,9.5,4.1,0.026,
phylop_ptc_to_ejc_median,isoform_count,9.3,5.5,0.11,
half_life_PC1,cdsseqs_UC_content,9.3,4.5,0.143,
mut.exon,cdsseqs_UC_content,9.2,3.7,-0.037,
cdsseqs_UC_content,isoform_count,9.1,1.5,0.046,
AmountExonsAfter,readthrough_score_hek293t,9.1,1.9,0.009,
relativePTClocation,AmountExonsAfter,9.1,3.5,-0.534,
last.EJC,half_life_PC1,9.0,8.9,0.207,
phastcons_new3utr_first200_median,readthrough_score_hek293t,8.8,3.0,0.029,
mut.exon,first.100,8.7,4.8,0.212,
cdsseq_AUcontentlast200,readthrough_score_hek293t,8.6,2.3,0.002,
mut.exon,log2_CDS,8.6,6.4,0.594,
AmountExonsAfter,log2_CDS,8.5,3.9,0.51,
cdsseqs_AU_content,threeUTR_UC_content,8.5,2.6,-0.067,
threeUTR_UC_content,isoform_count,8.4,2.2,0.078,
relativePTClocation,threeUTR_UC_content,8.3,3.3,0.014,
CADD_phred,threeUTR_UC_content,8.2,1.2,0.072,
cdsseqs_AU_content,AmountExonsAfter,8.1,4.2,0.02,
gnomAD_exome_ALL,readthrough_score_hek293t,8.0,1.2,0.011,
mut.exon,isoform_count,8.0,4.5,0.209,
AmountExonsAfter,threeUTR_UC_content,7.9,2.2,0.027,
phylop_ptc_to_ejc_median,log2_CDS,7.8,5.7,0.114,
CADD_phred,log2_CDS,7.8,2.3,0.102,
cdsseqs_AU_content,gnomAD_exome_ALL,7.8,2.4,-0.019,
half_life_PC1,cdsseq_AUcontentlast200,7.7,5.7,-0.156,
MedianExpression_log2,first.100,7.7,7.5,0.006,
threeUTR_UC_content,gnomAD_exome_ALL,7.7,1.8,-0.021,
half_life_PC1,mut.exon,7.5,3.3,0.033,
phylop_ptc_to_ejc_median,readthrough_score_hek293t,7.4,4.0,0.038,
cdsseqs_AU_content,CADD_phred,7.4,2.3,-0.046,
relativePTClocation,cdsseq_AUcontentlast200,7.4,2.4,-0.008,
AmountExonsAfter,first.200,7.4,4.9,0.075,
cdsseqs_AU_content,mut.exon,7.3,4.5,0.021,
phastcons_new3utr_first200_median,log2_CDS,7.3,4.3,0.1,
relativePTClocation,first.100,7.3,2.4,0.42,
log2_CDS,phylop_new3utr_first200_median,7.2,2.9,0.117,
relativePTClocation,first.200,7.1,2.8,0.537,
phylop_new3utr_first200_median,readthrough_score_hek293t,6.9,2.5,0.045,
cdsseqs_UC_content,cdsseq_AUcontentlast200,6.9,2.0,-0.342,
MedianExpression_log2,CADD_phred,6.7,2.7,0.143,
cdsseq_AUcontentlast200,isoform_count,6.7,2.1,-0.127,
cdsseqs_AU_content,cdsseq_AUcontentlast200,6.7,0.7,0.842,
cdsseqs_AU_content,phylop_new3utr_first200_median,6.5,2.8,0.147,
half_life_PC1,cdsseqs_AU_content,6.5,4.5,-0.166,
cdsseqs_AU_content,first.100,6.4,5.4,0.005,
last.EJC,cdsseq_AUcontentlast200,6.3,8.6,0.024,
CADD_phred,gnomAD_exome_ALL,6.3,1.7,0.005,
phastcons_new3utr_first200_median,threeUTR_UC_content,6.1,1.7,0.107,
threeUTR_UC_content,phylop_new3utr_first200_median,6.0,1.5,0.097,
half_life_PC1,first.200,5.9,4.6,0.06,
phylop_new3utr_first200_median,isoform_count,5.8,3.7,0.097,
cdsseq_AUcontentlast200,threeUTR_UC_content,5.8,1.8,-0.076,
AmountExonsAfter,phylop_new3utr_first200_median,5.7,1.1,0.257,
relativePTClocation,phylop_new3utr_first200_median,5.6,2.7,-0.218,
CADD_phred,isoform_count,5.5,1.4,0.064,
cdsseqs_UC_content,first.100,5.4,3.7,0.01,
half_life_PC1,AmountExonsAfter,5.2,3.3,0.085,
cdsseq_AUcontentlast200,CADD_phred,5.1,1.5,-0.052,
half_life_PC1,phastcons_new3utr_first200_median,5.1,3.2,0.137,
relativePTClocation,phylop_ptc_to_ejc_median,5.1,3.8,-0.177,
half_life_PC1,phylop_ptc_to_ejc_median,5.0,2.5,0.143,
AmountExonsAfter,CADD_phred,5.0,1.5,-0.012,
cdsseqs_AU_content,phastcons_new3utr_first200_median,4.9,4.0,0.094,
cdsseq_AUcontentlast200,first.200,4.8,3.3,0.025,
first.200,gnomAD_exome_ALL,4.8,2.8,0.003,
relativePTClocation,cdsseqs_AU_content,4.8,3.2,-0.004,
AmountExonsAfter,cdsseqs_UC_content,4.7,1.5,-0.008,
relativePTClocation,CADD_phred,4.6,5.1,0.203,
cdsseqs_UC_content,CADD_phred,4.6,1.4,0.025,
phastcons_new3utr_first200_median,isoform_count,4.6,1.6,0.133,
relativePTClocation,half_life_PC1,4.6,3.1,-0.035,
mut.exon,cdsseq_AUcontentlast200,4.6,3.8,-0.056,
AmountExonsAfter,isoform_count,4.6,2.6,0.194,
mut.exon,AmountExonsAfter,4.5,3.2,0.034,
first.200,log2_CDS,4.5,5.5,0.299,
AmountExonsAfter,gnomAD_exome_ALL,4.4,2.0,0.008,
phylop_new3utr_first200_median,gnomAD_exome_ALL,4.4,1.9,-0.018,
phastcons_new3utr_first200_median,first.200,4.3,2.8,0.022,
log2_CDS,first.100,4.2,4.5,0.188,
phylop_ptc_to_ejc_median,AmountExonsAfter,4.1,0.7,0.249,
cdsseqs_AU_content,phylop_ptc_to_ejc_median,4.1,1.3,0.142,
phylop_ptc_to_ejc_median,phylop_new3utr_first200_median,4.1,0.8,0.842,LIKELY REDUNDANT (confirmed after retraining)
first.200,readthrough_score_hek293t,4.0,3.9,0.013,
phylop_ptc_to_ejc_median,first.200,4.0,0.8,0.043,
