feature_a,feature_b,mean_interaction,interaction_fold_std,pct_of_main_a,pct_of_main_b,verdict,correlation_section2,redundancy_flag
last.EJC,MedianExpression_log2,0.026536715491010998,0.00076,4.9,117.2,meaningful interaction (complementary),0.071,
last.EJC,cdsseqs_AU_content,0.021254497686851805,0.00048,3.9,17.9,meaningful interaction (complementary),0.017,
last.EJC,relativePTClocation,0.018802836905301025,0.00345,3.5,10.6,moderate interaction,0.539,
last.EJC,log2_CDS,0.016202027655365304,0.00064,3.0,85.2,meaningful interaction (complementary),0.216,
last.EJC,mut.exon,0.015632562650719894,0.00141,2.9,29.4,meaningful interaction (complementary),0.028,
last.EJC,half_life_PC1,0.014915057281185444,0.00056,2.7,9.5,moderate interaction,0.207,
last.EJC,phastcons_new3utr_first200_median,0.012491766119034728,0.001,2.3,15.6,meaningful interaction (complementary),0.479,
last.EJC,first.200,0.008783688987292867,0.00121,1.6,22.8,meaningful interaction (complementary),0.141,
last.EJC,phylop_ptc_to_ejc_median,0.007982793618395172,0.00084,1.5,11.8,moderate interaction,0.473,
last.EJC,first.100,0.007761718248952408,0.00185,1.4,32.0,meaningful interaction (complementary),0.117,
last.EJC,cdsseqs_UC_content,0.007605489650081179,0.00015,1.4,16.1,meaningful interaction (complementary),0.026,
relativePTClocation,MedianExpression_log2,0.006053657916559601,0.00023,3.4,26.7,meaningful interaction (complementary),-0.001,
half_life_PC1,log2_CDS,0.005988131957223707,0.00039,3.8,31.5,meaningful interaction (complementary),-0.163,
relativePTClocation,half_life_PC1,0.005852944334594783,0.00024,3.3,3.7,weak interaction (near-additive),-0.035,
last.EJC,isoform_count,0.0048746113846983175,0.00041,0.9,21.4,meaningful interaction (complementary),0.152,
half_life_PC1,cdsseqs_AU_content,0.004750545631046148,0.00028,3.0,4.0,weak interaction (near-additive),-0.166,
last.EJC,cdsseq_AUcontentlast200,0.004644271036954758,9e-05,0.9,8.9,moderate interaction,0.024,
last.EJC,phastcons_ptc_to_ejc_median,0.004485647360490333,0.00041,0.8,16.4,meaningful interaction (complementary),0.606,
last.EJC,phylop_new3utr_first200_median,0.0044087692028805595,0.00039,0.8,15.4,meaningful interaction (complementary),0.416,
phastcons_new3utr_first200_median,MedianExpression_log2,0.004227259389554954,0.0006,5.3,18.7,meaningful interaction (complementary),0.269,
phastcons_new3utr_first200_median,cdsseqs_UC_content,0.004174556388354324,0.00018,5.2,8.8,moderate interaction,-0.014,
cdsseqs_AU_content,log2_CDS,0.003930005787590176,0.00027,3.3,20.7,meaningful interaction (complementary),0.012,
cdsseqs_AU_content,first.200,0.003874433314804918,8e-05,3.3,10.1,moderate interaction,0.012,
relativePTClocation,log2_CDS,0.0037853736627295625,0.00021,2.1,19.9,meaningful interaction (complementary),0.052,
relativePTClocation,mut.exon,0.003584911644646554,0.0013,2.0,6.7,moderate interaction,0.49,
cdsseqs_AU_content,MedianExpression_log2,0.003564618281503957,0.00026,3.0,15.7,meaningful interaction (complementary),-0.133,
half_life_PC1,MedianExpression_log2,0.003438957158147063,0.00038,2.2,15.2,meaningful interaction (complementary),0.323,
relativePTClocation,cdsseqs_AU_content,0.003391095102593259,0.00016,1.9,2.9,weak interaction (near-additive),-0.004,
half_life_PC1,cdsseq_AUcontentlast200,0.003365566937919498,0.00041,2.2,6.5,moderate interaction,-0.156,
relativePTClocation,cdsseqs_UC_content,0.0032306862654341976,0.00012,1.8,6.8,moderate interaction,-0.005,
cdsseqs_UC_content,first.200,0.0030444517267874767,8e-05,6.4,7.9,moderate interaction,0.011,
cdsseqs_AU_content,AmountExonsAfter,0.002927573421371015,0.0002,2.5,4.5,weak interaction (near-additive),0.02,
phylop_ptc_to_ejc_median,MedianExpression_log2,0.0029175046392544168,0.00032,4.3,12.9,moderate interaction,0.247,
relativePTClocation,readthrough_score_hek293t,0.0028287587321812017,0.00012,1.6,15.7,meaningful interaction (complementary),0.008,
cdsseqs_AU_content,cdsseqs_UC_content,0.0027194158651702143,0.00068,2.3,5.7,moderate interaction,-0.413,
half_life_PC1,isoform_count,0.002545437476060863,0.00027,1.6,11.2,moderate interaction,0.188,
relativePTClocation,AmountExonsAfter,0.0024380968112733725,0.00155,1.4,3.7,weak interaction (near-additive),-0.534,
AmountExonsAfter,first.200,0.002401351091177831,0.00033,3.7,6.2,moderate interaction,0.075,
relativePTClocation,phylop_ptc_to_ejc_median,0.00239063157109243,0.00012,1.3,3.5,weak interaction (near-additive),-0.177,
half_life_PC1,CADD_phred,0.0023776688932354954,0.00025,1.5,6.4,moderate interaction,0.121,
last.EJC,threeUTR_UC_content,0.0023229858802811883,0.00076,0.4,9.8,moderate interaction,0.102,
cdsseqs_AU_content,mut.exon,0.002317126537143402,0.0001,2.0,4.4,weak interaction (near-additive),0.021,
AmountExonsAfter,MedianExpression_log2,0.0022896506663214536,0.0002,3.5,10.1,moderate interaction,0.036,
half_life_PC1,AmountExonsAfter,0.002154640983783516,0.00028,1.4,3.3,weak interaction (near-additive),0.085,
last.EJC,CADD_phred,0.002134053062064407,0.0002,0.4,5.8,moderate interaction,0.107,
relativePTClocation,CADD_phred,0.002125655608854647,0.00027,1.2,5.8,moderate interaction,0.203,
mut.exon,readthrough_score_hek293t,0.002123421119226099,0.00021,4.0,11.8,moderate interaction,0.018,
cdsseq_AUcontentlast200,first.200,0.00202951611368192,5e-05,3.9,5.3,moderate interaction,0.025,
half_life_PC1,cdsseqs_UC_content,0.0019431033703656757,0.00023,1.2,4.1,weak interaction (near-additive),0.143,
mut.exon,cdsseqs_UC_content,0.0019251020992350429,9e-05,3.6,4.1,weak interaction (near-additive),-0.037,
relativePTClocation,phastcons_new3utr_first200_median,0.0019243897440296628,0.00021,1.1,2.4,weak interaction (near-additive),-0.241,
MedianExpression_log2,log2_CDS,0.0019137940319117596,0.00013,8.5,10.1,moderate interaction,-0.034,
cdsseqs_AU_content,isoform_count,0.0018904024003958669,0.00024,1.6,8.3,moderate interaction,-0.065,
cdsseqs_AU_content,phastcons_new3utr_first200_median,0.0018693522316842444,0.00019,1.6,2.3,weak interaction (near-additive),0.094,
last.EJC,AmountExonsAfter,0.0018599240280130504,0.0003,0.3,2.9,weak interaction (near-additive),0.442,
half_life_PC1,phastcons_new3utr_first200_median,0.0018192329657145032,9e-05,1.2,2.3,weak interaction (near-additive),0.137,
last.EJC,readthrough_score_hek293t,0.001798455557935146,6e-05,0.3,10.0,moderate interaction,0.013,
half_life_PC1,phylop_new3utr_first200_median,0.001787073024020815,0.00012,1.1,6.2,moderate interaction,0.107,
half_life_PC1,phylop_ptc_to_ejc_median,0.0017107328236064178,0.00015,1.1,2.5,weak interaction (near-additive),0.143,
phylop_ptc_to_ejc_median,cdsseqs_UC_content,0.0017011654477224487,0.00026,2.5,3.6,weak interaction (near-additive),-0.051,
relativePTClocation,cdsseq_AUcontentlast200,0.0016933054024339022,0.00019,1.0,3.3,weak interaction (near-additive),-0.008,
half_life_PC1,mut.exon,0.001669504335745973,0.00025,1.1,3.1,weak interaction (near-additive),0.033,
phylop_ptc_to_ejc_median,threeUTR_UC_content,0.0016417318412339167,0.00011,2.4,6.9,moderate interaction,0.087,
relativePTClocation,first.200,0.0016161286221086967,0.00041,0.9,4.2,weak interaction (near-additive),0.537,
cdsseqs_AU_content,first.100,0.0015880264212964706,4e-05,1.3,6.5,moderate interaction,0.005,
relativePTClocation,isoform_count,0.0015749019921730964,0.00021,0.9,6.9,moderate interaction,-0.009,
MedianExpression_log2,isoform_count,0.0015746345908232442,9e-05,7.0,6.9,moderate interaction,0.215,
phylop_ptc_to_ejc_median,isoform_count,0.0013949902039061173,4e-05,2.1,6.1,moderate interaction,0.11,
MedianExpression_log2,phastcons_ptc_to_ejc_median,0.001384069259616531,0.00017,6.1,5.1,moderate interaction,0.247,
half_life_PC1,first.200,0.0013821538215756082,9e-05,0.9,3.6,weak interaction (near-additive),0.06,
half_life_PC1,threeUTR_UC_content,0.0013763116334097778,0.0001,0.9,5.8,moderate interaction,0.058,
cdsseq_AUcontentlast200,cdsseqs_UC_content,0.0013449100271972435,9e-05,2.6,2.8,weak interaction (near-additive),-0.342,
mut.exon,MedianExpression_log2,0.0013276464355174867,0.00014,2.5,5.9,moderate interaction,0.021,
mut.exon,log2_CDS,0.0012701451778384758,0.00014,2.4,6.7,moderate interaction,0.594,
mut.exon,threeUTR_UC_content,0.0012316606654357873,0.00013,2.3,5.2,moderate interaction,0.026,
log2_CDS,isoform_count,0.0012296675564421164,9e-05,6.5,5.4,moderate interaction,0.226,
mut.exon,cdsseq_AUcontentlast200,0.001226550261933936,5e-05,2.3,2.4,weak interaction (near-additive),-0.056,
mut.exon,AmountExonsAfter,0.0012213018278317497,0.00027,2.3,1.9,weak interaction (near-additive),0.034,
MedianExpression_log2,first.100,0.0012131326149082034,9e-05,5.4,5.0,moderate interaction,0.006,
cdsseqs_UC_content,phylop_new3utr_first200_median,0.0012040685413332191,5e-05,2.5,4.2,weak interaction (near-additive),-0.049,
cdsseq_AUcontentlast200,log2_CDS,0.0011944410024963918,0.0001,2.3,6.3,moderate interaction,-0.061,
mut.exon,phylop_ptc_to_ejc_median,0.0011813567876098868,0.00018,2.2,1.7,weak interaction (near-additive),0.064,
