cohort	tier	threshold_low	threshold_high	n	pct	mean_predicted_prob	empirical_escape_rate
TOPMed (OOF, reference)	High-confidence sensitive		0.2	786	13.671942946599408	0.1536855417701993	0.1183206106870229
TOPMed (OOF, reference)	Probable sensitive	0.2	0.35	1679	29.205079144198994	0.2732776650286645	0.25670041691483025
TOPMed (OOF, reference)	Uncertain	0.35	0.65	1770	30.787963124021566	0.47491517392011695	0.5033898305084745
TOPMed (OOF, reference)	Probable escape	0.65	0.8	833	14.489476430683599	0.7330952269539623	0.758703481392557
TOPMed (OOF, reference)	High-confidence escape	0.8		681	11.845538354496433	0.8409300408340297	0.8384728340675477
TOPMed (OOF, reference)	TOTAL			5749	100.0	0.4528738172053811	0.45538354496434164
gnomAD	High-confidence sensitive		0.2	46354	33.62469805668192	0.10953494632828466	
gnomAD	Probable sensitive	0.2	0.35	24616	17.856184306926743	0.2687645546284223	
gnomAD	Uncertain	0.35	0.65	27454	19.9148392899889	0.48652522025742223	
gnomAD	Probable escape	0.65	0.8	12550	9.10363637682526	0.7293899652874758	
gnomAD	High-confidence escape	0.8		26883	19.50064196957717	0.8917979573160493	
gnomAD	TOTAL			137857	100.0	0.4220199418721356	
ClinVar	High-confidence sensitive		0.2	11269	37.403744025491235	0.10955313119455752	
ClinVar	Probable sensitive	0.2	0.35	5915	19.632899628252787	0.26783135714023226	
ClinVar	Uncertain	0.35	0.65	6601	21.90985130111524	0.4841377973663807	
ClinVar	Probable escape	0.65	0.8	2359	7.8299256505576205	0.7275663717767662	
ClinVar	High-confidence escape	0.8		3984	13.223579394583112	0.892765448744545	
ClinVar	TOTAL			30128	100.0	0.3746573596704421	
GREGoR	High-confidence sensitive		0.2	862	33.830455259026685	0.10204889794719813	
GREGoR	Probable sensitive	0.2	0.35	343	13.461538461538462	0.26692371576394014	
GREGoR	Uncertain	0.35	0.65	406	15.934065934065933	0.5029091732677756	
GREGoR	Probable escape	0.65	0.8	231	9.065934065934066	0.7329272549226289	
GREGoR	High-confidence escape	0.8		706	27.708006279434848	0.9028714446676764	
GREGoR	TOTAL			2548	100.0	0.46720390294613034	
